service_id,duration,capacity_window_1h,time_distance_competitor_-2,price_competitor_-2,time_distance_competitor_-1,price_competitor_-1,time_distance_competitor_1,price_competitor_1,time_distance_competitor_2,price_competitor_2,month_sin,month_cos,day_of_week_sin,day_of_week_cos,train_type_IRYO,train_type_OUIGO,price
00005_04-01-2025-07.02,172.0,923.0,-594.6,98.88,-34.8,32.44,25.2,63.39,85.2,39.08,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,1,37.37
00009_04-01-2025-08.07,172.0,875.0,-100.2,32.44,-40.2,63.39,19.8,39.08,49.8,62.59,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,20.01
00009_04-01-2025-09.22,172.0,1711.0,-55.2,39.08,-25.2,62.59,4.8,65.63,64.8,53.69,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,44.32
00009_04-01-2025-09.57,172.0,970.0,-60.0,62.59,-30.0,65.63,30.0,53.69,90.0,44.35,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,28.13
00011_04-01-2025-10.02,182.0,1551.0,-64.8,62.59,-34.8,65.63,25.2,53.69,85.2,44.35,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,1,37.53
00009_04-01-2025-11.22,172.0,1264.0,-115.2,65.63,-55.2,53.69,4.8,44.35,64.8,57.39,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,40.08
00009_04-01-2025-12.22,172.0,839.0,-115.2,53.69,-55.2,44.35,4.8,57.39,55.8,82.74,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,26.02
00015_04-01-2025-14.12,157.0,509.0,-105.0,57.39,-54.0,82.74,75.0,27.55,135.0,102.72,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,1,23.67
00017_04-01-2025-14.42,179.0,461.0,-135.0,57.39,-84.0,82.74,45.0,27.55,105.0,102.72,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,36.57
00002_04-01-2025-16.37,157.0,875.0,-70.2,27.55,-10.2,102.72,49.8,12.07,109.8,102.37,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,53.61
00015_04-01-2025-17.17,157.0,1090.0,-109.8,27.55,-49.8,102.72,10.2,12.07,70.2,102.37,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,1,15.4
00009_04-01-2025-19.29,172.0,1042.0,-121.8,12.07,-61.8,102.37,5.4,24.04,58.2,12.36,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,35.86
00009_04-01-2025-20.22,172.0,875.0,-115.2,102.37,-48.0,24.04,4.8,12.36,604.8,52.21,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1,0,35.14
00005_04-01-2025-21.02,172.0,509.0,-87.6,24.04,-34.8,12.36,565.2,52.21,625.2,49.78,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0,1,22.2
00005_05-01-2025-07.02,172.0,923.0,-634.8,12.36,-34.8,52.21,25.2,49.78,85.2,82.73,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,53.93
00009_05-01-2025-08.07,172.0,875.0,-100.2,52.21,-40.2,49.78,19.8,82.73,79.8,27.78,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,54.17
00009_05-01-2025-09.22,172.0,875.0,-115.2,49.78,-55.2,82.73,4.8,27.78,64.8,40.64,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,45.92
00009_05-01-2025-09.57,172.0,970.0,-90.0,82.73,-30.0,27.78,30.0,40.64,90.0,157.66,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,59.65
00011_05-01-2025-10.02,182.0,1551.0,-94.8,82.73,-34.8,27.78,25.2,40.64,85.2,157.66,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,25.7
00009_05-01-2025-11.22,172.0,1264.0,-115.2,27.78,-55.2,40.64,4.8,157.66,64.8,55.1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,61.34
00009_05-01-2025-12.22,172.0,859.0,-115.2,40.64,-55.2,157.66,4.8,55.1,55.8,55.14,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,64.8
00009_05-01-2025-14.02,172.0,1351.0,-94.8,55.1,-43.8,55.14,25.2,104.3,85.2,64.67,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,82.19
00015_05-01-2025-14.12,157.0,1351.0,-105.0,55.1,-54.0,55.14,15.0,104.3,75.0,64.67,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,57.27
00017_05-01-2025-14.42,179.0,842.0,-84.0,55.14,-15.0,104.3,45.0,64.67,105.0,91.26,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,74.17
00002_05-01-2025-16.37,157.0,1289.0,-70.2,64.67,-10.2,91.26,19.8,77.65,49.8,76.9,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,90.63
00015_05-01-2025-17.17,157.0,1965.0,-49.8,91.26,-19.8,77.65,10.2,76.9,40.2,71.06,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,70.53
00009_05-01-2025-17.22,172.0,1965.0,-55.2,91.26,-25.2,77.65,4.8,76.9,34.8,71.06,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,81.84
00002_05-01-2025-18.32,157.0,1289.0,-34.8,71.06,-4.8,100.32,25.2,94.17,62.4,77.38,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,109.25
00009_05-01-2025-19.29,172.0,1042.0,-61.8,100.32,-31.8,94.17,5.4,77.38,36.0,76.47,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,96.41
00009_05-01-2025-20.22,172.0,1709.0,-48.0,77.38,-17.4,76.47,4.8,73.58,45.0,134.39,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1,0,77.68
00005_05-01-2025-21.02,172.0,923.0,-57.0,76.47,-34.8,73.58,5.4,134.39,550.2,25.89,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0,1,62.6
00002_06-01-2025-06.22,157.0,1401.0,-555.0,134.39,-10.2,25.89,4.8,47.51,34.8,62.08,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,38.23
00005_06-01-2025-07.02,172.0,1798.0,-34.8,47.51,-4.8,62.08,25.2,55.68,55.2,62.75,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,46.15
00002_06-01-2025-07.22,157.0,1798.0,-55.2,47.51,-25.2,62.08,4.8,55.68,34.8,62.75,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,44.16
00002_06-01-2025-08.32,157.0,1711.0,-34.8,62.75,-4.8,74.26,25.2,59.6,55.2,76.24,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,36.25
00009_06-01-2025-09.22,172.0,1711.0,-55.2,74.26,-25.2,59.6,4.8,76.24,64.8,38.5,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,55.16
00009_06-01-2025-09.57,172.0,970.0,-60.0,59.6,-30.0,76.24,30.0,38.5,90.0,47.33,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0,44.89
00011_06-01-2025-10.02,182.0,1551.0,-64.8,59.6,-34.8,76.24,25.2,38.5,85.2,47.33,0.49999999999999994,0.8660254037844387,0.0,1.0,0,1,31.31
