trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,BasicSeat
00002,60000,71801,IRYO,IRYO,2025-01-03 06:22:00,2025-01-03 08:59:00,0 days 02:37:00,00002_03-01-2025-06.22,21.14
00021,60000,71801,AVLO,AVLO,2025-01-03 06:27:00,2025-01-03 09:25:00,0 days 02:58:00,00021_03-01-2025-06.27,30.33
00004,60000,71801,AVE,AVE,2025-01-03 06:57:00,2025-01-03 09:34:00,0 days 02:37:00,00004_03-01-2025-06.57,39.76
00005,60000,71801,OUIGO,OUIGO,2025-01-03 07:02:00,2025-01-03 09:54:00,0 days 02:52:00,00005_03-01-2025-07.02,43.35
00002,60000,71801,IRYO,IRYO,2025-01-03 07:22:00,2025-01-03 09:59:00,0 days 02:37:00,00002_03-01-2025-07.22,61.31
00006,60000,71801,AVE,AVE,2025-01-03 07:27:00,2025-01-03 10:46:00,0 days 03:19:00,00006_03-01-2025-07.27,67.57
00004,60000,71801,AVE,AVE,2025-01-03 07:57:00,2025-01-03 10:34:00,0 days 02:37:00,00004_03-01-2025-07.57,52.29
00002,60000,71801,IRYO,IRYO,2025-01-03 08:32:00,2025-01-03 11:09:00,0 days 02:37:00,00002_03-01-2025-08.32,21.3
00008,60000,71801,AVE,AVE,2025-01-03 08:57:00,2025-01-03 11:41:00,0 days 02:44:00,00008_03-01-2025-08.57,103.69
00009,60000,71801,IRYO,IRYO,2025-01-03 09:22:00,2025-01-03 12:14:00,0 days 02:52:00,00009_03-01-2025-09.22,55.57
00010,60000,71801,AVE,AVE,2025-01-03 09:27:00,2025-01-03 12:41:00,0 days 03:14:00,00010_03-01-2025-09.27,77.13
00009,60000,71801,IRYO,IRYO,2025-01-03 09:57:00,2025-01-03 12:49:00,0 days 02:52:00,00009_03-01-2025-09.57,42.73
00011,60000,71801,OUIGO,OUIGO,2025-01-03 10:02:00,2025-01-03 13:04:00,0 days 03:02:00,00011_03-01-2025-10.02,44.26
00012,60000,71801,AVLO,AVLO,2025-01-03 10:27:00,2025-01-03 13:19:00,0 days 02:52:00,00012_03-01-2025-10.27,52.35
