trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,capacity,train_model,original_price_scraping,BasicSeat
5,60000,71801,OUIGO,OUIGO,2025-01-04 07:02:00,2025-01-04 09:54:00,0 days 02:52:00,00005_04-01-2025-07.02,509.0,S-108,35.0,33.84
6,60000,71801,AVE,AVE,2025-01-04 07:27:00,2025-01-04 10:46:00,0 days 03:19:00,00006_04-01-2025-07.27,414.0,S-103,45.95,53.8
9,60000,71801,IRYO,IRYO,2025-01-04 08:07:00,2025-01-04 10:59:00,0 days 02:52:00,00009_04-01-2025-08.07,461.0,S-109,35.57,19.88
7,60000,71801,AVE,AVE,2025-01-04 08:27:00,2025-01-04 11:19:00,0 days 02:52:00,00007_04-01-2025-08.27,414.0,S-103,45.95,34.64
8,60000,71801,AVE,AVE,2025-01-04 08:57:00,2025-01-04 11:41:00,0 days 02:44:00,00008_04-01-2025-08.57,836.0,S-103,47.45,56.77
9,60000,71801,IRYO,IRYO,2025-01-04 09:22:00,2025-01-04 12:14:00,0 days 02:52:00,00009_04-01-2025-09.22,461.0,S-109,35.57,27.59
10,60000,71801,AVE,AVE,2025-01-04 09:27:00,2025-01-04 12:41:00,0 days 03:14:00,00010_04-01-2025-09.27,414.0,S-103,45.95,48.38
9,60000,71801,IRYO,IRYO,2025-01-04 09:57:00,2025-01-04 12:49:00,0 days 02:52:00,00009_04-01-2025-09.57,461.0,S-109,41.04,59.55
11,60000,71801,OUIGO,OUIGO,2025-01-04 10:02:00,2025-01-04 13:04:00,0 days 03:02:00,00011_04-01-2025-10.02,509.0,S-108,35.0,34.12
12,60000,71801,AVLO,AVLO,2025-01-04 10:27:00,2025-01-04 13:19:00,0 days 02:52:00,00012_04-01-2025-10.27,581.0,S-106,39.0,48.03
9,60000,71801,IRYO,IRYO,2025-01-04 11:22:00,2025-01-04 14:14:00,0 days 02:52:00,00009_04-01-2025-11.22,461.0,S-109,35.57,49.9
6,60000,71801,AVE,AVE,2025-01-04 11:27:00,2025-01-04 14:46:00,0 days 03:19:00,00006_04-01-2025-11.27,803.0,S-103,40.2,47.23
9,60000,71801,IRYO,IRYO,2025-01-04 12:22:00,2025-01-04 15:14:00,0 days 02:52:00,00009_04-01-2025-12.22,461.0,S-109,31.2,43.92
13,60000,71801,AVE,AVE,2025-01-04 12:27:00,2025-01-04 15:44:00,0 days 03:17:00,00013_04-01-2025-12.27,378.0,S-103,45.95,63.47
14,60000,71801,AVE INT,AVE INT,2025-01-04 13:18:00,2025-01-04 16:22:00,0 days 03:04:00,00014_04-01-2025-13.18,339.0,S-100,68.95,82.74
15,60000,71801,OUIGO,OUIGO,2025-01-04 14:12:00,2025-01-04 16:49:00,0 days 02:37:00,00015_04-01-2025-14.12,509.0,S-108,19.0,15.47
17,60000,71801,IRYO,IRYO,2025-01-04 14:42:00,2025-01-04 17:41:00,0 days 02:59:00,00017_04-01-2025-14.42,461.0,S-109,34.77,33.08
18,60000,71801,AVLO,AVLO,2025-01-04 15:27:00,2025-01-04 18:46:00,0 days 03:19:00,00018_04-01-2025-15.27,547.0,S-106,25.0,32.95
7,60000,71801,AVE,AVE,2025-01-04 16:27:00,2025-01-04 19:19:00,0 days 02:52:00,00007_04-01-2025-16.27,414.0,S-103,80.45,96.52
2,60000,71801,IRYO,IRYO,2025-01-04 16:37:00,2025-01-04 19:14:00,0 days 02:37:00,00002_04-01-2025-16.37,461.0,S-109,30.14,32.16
15,60000,71801,OUIGO,OUIGO,2025-01-04 17:17:00,2025-01-04 19:54:00,0 days 02:37:00,00015_04-01-2025-17.17,509.0,S-108,22.0,35.8
18,60000,71801,AVLO,AVLO,2025-01-04 17:27:00,2025-01-04 20:46:00,0 days 03:19:00,00018_04-01-2025-17.27,581.0,S-106,19.0,20.88
16,60000,71801,AVE,AVE,2025-01-04 18:27:00,2025-01-04 21:24:00,0 days 02:57:00,00016_04-01-2025-18.27,414.0,S-103,80.45,98.52
9,60000,71801,IRYO,IRYO,2025-01-04 19:29:00,2025-01-04 22:21:00,0 days 02:52:00,00009_04-01-2025-19.29,461.0,S-109,33.76,27.54
19,60000,71801,AVLO,AVLO,2025-01-04 19:34:00,2025-01-04 22:55:00,0 days 03:21:00,00019_04-01-2025-19.34,581.0,S-106,25.0,27.13
9,60000,71801,IRYO,IRYO,2025-01-04 20:22:00,2025-01-04 23:14:00,0 days 02:52:00,00009_04-01-2025-20.22,461.0,S-109,31.97,50.94
