service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,capacity_window_1h,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00020_02-01-2025-20.27,AVE,414,S-103,2025,1,3,20.45,201.0,53.96,414,1289.0,-22.2,65.35,AVE,157.0,-4.8,35.82,IRYO,172.0,34.8,32.42,OUIGO,172.0,40.2,72.95,AVE,172.0
00005_02-01-2025-21.02,OUIGO,509,S-108,2025,1,3,21.03,172.0,32.42,509,923.0,-39.6,35.82,IRYO,172.0,-34.8,53.96,AVE,201.0,5.4,72.95,AVE,172.0,560.4,17.23,IRYO,157.0
00007_02-01-2025-21.07,AVE,414,S-103,2025,1,3,21.12,172.0,72.95,55,923.0,-40.2,53.96,AVE,201.0,-5.4,32.42,OUIGO,172.0,555.0,17.23,IRYO,157.0,559.8,22.61,AVLO,178.0
00002_03-01-2025-06.22,IRYO,461,S-109,2025,1,4,6.37,157.0,17.23,461,988.0,-560.4,32.42,OUIGO,172.0,-555.0,72.95,AVE,172.0,4.8,22.61,AVLO,178.0,34.8,38.86,AVE,157.0
00021_03-01-2025-06.27,AVLO,527,S-106,2025,1,4,6.45,178.0,22.61,527,988.0,-559.8,72.95,AVE,172.0,-4.8,17.23,IRYO,157.0,30.0,38.86,AVE,157.0,34.8,59.76,OUIGO,172.0
00004_03-01-2025-06.57,AVE,414,S-103,2025,1,4,6.95,157.0,38.86,414,1384.0,-34.8,17.23,IRYO,157.0,-30.0,22.61,AVLO,178.0,4.8,59.76,OUIGO,172.0,25.2,30.94,IRYO,157.0
00005_03-01-2025-07.02,OUIGO,509,S-108,2025,1,4,7.03,172.0,59.76,509,1798.0,-34.8,22.61,AVLO,178.0,-4.8,38.86,AVE,157.0,20.4,30.94,IRYO,157.0,25.2,58.58,AVE,199.0
00002_03-01-2025-07.22,IRYO,461,S-109,2025,1,4,7.37,157.0,30.94,461,1798.0,-25.2,38.86,AVE,157.0,-20.4,59.76,OUIGO,172.0,4.8,58.58,AVE,199.0,34.8,40.82,AVE,157.0
00006_03-01-2025-07.27,AVE,414,S-103,2025,1,4,7.45,199.0,58.58,414,1384.0,-25.2,59.76,OUIGO,172.0,-4.8,30.94,IRYO,157.0,30.0,40.82,AVE,157.0,64.8,22.63,IRYO,157.0
00004_03-01-2025-07.57,AVE,414,S-103,2025,1,4,7.95,157.0,40.82,414,414.0,-34.8,30.94,IRYO,157.0,-30.0,58.58,AVE,199.0,34.8,22.63,IRYO,157.0,60.0,114.34,AVE,164.0
00002_03-01-2025-08.32,IRYO,461,S-109,2025,1,4,8.53,157.0,22.63,461,875.0,-64.8,58.58,AVE,199.0,-34.8,40.82,AVE,157.0,25.2,114.34,AVE,164.0,50.4,47.42,IRYO,172.0
00008_03-01-2025-08.57,AVE,414,S-103,2025,1,4,8.95,164.0,114.34,38,1336.0,-60.0,40.82,AVE,157.0,-25.2,22.63,IRYO,157.0,25.2,47.42,IRYO,172.0,30.0,72.0,AVE,194.0
00009_03-01-2025-09.22,IRYO,461,S-109,2025,1,4,9.37,172.0,47.42,461,1289.0,-50.4,22.63,IRYO,157.0,-25.2,114.34,AVE,164.0,4.8,72.0,AVE,194.0,34.8,65.39,IRYO,172.0
00010_03-01-2025-09.27,AVE,414,S-103,2025,1,4,9.45,194.0,72.0,373,875.0,-30.0,114.34,AVE,164.0,-4.8,47.42,IRYO,172.0,30.0,65.39,IRYO,172.0,34.8,47.46,OUIGO,182.0
