service_id,train_type,capacity,train_model,year,month,day_of_week,departure_time,duration,price,passengers,capacity_window_1h
00016_05-01-2025-14.27,AVE,381,S-103,2025,1,6,14.45,177.0,104.3,328,1812.0
00017_05-01-2025-14.42,IRYO,461,S-109,2025,1,6,14.7,179.0,74.17,461,842.0
00018_05-01-2025-15.27,AVLO,571,S-106,2025,1,6,15.45,199.0,64.67,571,571.0
00007_05-01-2025-16.27,AVE,414,S-103,2025,1,6,16.45,172.0,91.26,345,875.0
00002_05-01-2025-16.37,IRYO,461,S-109,2025,1,6,16.62,157.0,90.63,332,1289.0
00004_05-01-2025-16.57,AVE,414,S-103,2025,1,6,16.95,157.0,77.65,414,1845.0
00015_05-01-2025-17.17,OUIGO,509,S-108,2025,1,6,17.28,157.0,70.53,509,1965.0
00009_05-01-2025-17.22,IRYO,461,S-109,2025,1,6,17.37,172.0,81.84,461,1965.0
00018_05-01-2025-17.27,AVLO,581,S-106,2025,1,6,17.45,199.0,76.9,311,1551.0
00004_05-01-2025-17.57,AVE,414,S-103,2025,1,6,17.95,157.0,71.06,414,414.0
00016_05-01-2025-18.27,AVE,414,S-103,2025,1,6,18.45,177.0,100.32,86,875.0
00002_05-01-2025-18.32,IRYO,461,S-109,2025,1,6,18.53,157.0,109.25,14,1289.0
00004_05-01-2025-18.57,AVE,414,S-103,2025,1,6,18.95,157.0,94.17,265,875.0
00009_05-01-2025-19.29,IRYO,461,S-109,2025,1,6,19.48,172.0,96.41,22,1042.0
00019_05-01-2025-19.34,AVLO,581,S-106,2025,1,6,19.57,201.0,77.38,146,1042.0
00004_05-01-2025-20.05,AVE,414,S-103,2025,1,6,20.08,157.0,76.47,414,1709.0
00009_05-01-2025-20.22,IRYO,461,S-109,2025,1,6,20.37,172.0,77.68,247,1709.0
00020_05-01-2025-20.27,AVE,834,S-103,2025,1,6,20.45,201.0,73.58,499,1709.0
00005_05-01-2025-21.02,OUIGO,509,S-108,2025,1,6,21.03,172.0,62.6,509,923.0
00007_05-01-2025-21.07,AVE,414,S-103,2025,1,6,21.12,172.0,134.39,0,923.0
00001_06-01-2025-06.12,AVLO,581,S-106,2025,1,0,6.2,157.0,25.89,263,1401.0
00002_06-01-2025-06.22,IRYO,461,S-109,2025,1,0,6.37,157.0,38.23,461,1401.0
00003_06-01-2025-06.27,AVE,359,S-103,2025,1,0,6.45,178.0,47.51,359,1401.0
