service_id,train_type,year,month,day_of_week,departure_time,duration,price,passengers,time_distance_competitor_-2,price_competitor_-2,train_type_competitor_-2,duration_competitor_-2,time_distance_competitor_-1,price_competitor_-1,train_type_competitor_-1,duration_competitor_-1,time_distance_competitor_1,price_competitor_1,train_type_competitor_1,duration_competitor_1,time_distance_competitor_2,price_competitor_2,train_type_competitor_2,duration_competitor_2
00009_02-01-2025-12.22,IRYO,2025,1,3,12.37,172.0,61.95,89,-60.0,68.99,IRYO,172.0,-55.2,60.42,AVE,199.0,4.8,56.09,AVE,197.0,34.8,67.02,AVE,157.0
00013_02-01-2025-12.27,AVE,2025,1,3,12.45,197.0,56.09,660,-60.0,60.42,AVE,199.0,-4.8,61.95,IRYO,172.0,30.0,67.02,AVE,157.0,51.0,55.14,AVE,184.0
00004_02-01-2025-12.57,AVE,2025,1,3,12.95,157.0,67.02,394,-34.8,61.95,IRYO,172.0,-30.0,56.09,AVE,197.0,21.0,55.14,AVE,184.0,64.8,34.63,IRYO,172.0
00014_02-01-2025-13.18,AVE,2025,1,3,13.3,184.0,55.14,334,-51.0,56.09,AVE,197.0,-21.0,67.02,AVE,157.0,43.8,34.63,IRYO,172.0,54.0,35.11,OUIGO,157.0
00009_02-01-2025-14.02,IRYO,2025,1,3,14.03,172.0,34.63,1322,-64.8,67.02,AVE,157.0,-43.8,55.14,AVE,184.0,10.2,35.11,OUIGO,157.0,25.2,84.7,AVE,177.0
00015_02-01-2025-14.12,OUIGO,2025,1,3,14.2,157.0,35.11,892,-54.0,55.14,AVE,184.0,-10.2,34.63,IRYO,172.0,15.0,84.7,AVE,177.0,30.0,39.25,IRYO,179.0
00016_02-01-2025-14.27,AVE,2025,1,3,14.45,177.0,84.7,52,-25.2,34.63,IRYO,172.0,-15.0,35.11,OUIGO,157.0,15.0,39.25,IRYO,179.0,30.0,88.31,AVE,157.0
00017_02-01-2025-14.42,IRYO,2025,1,3,14.7,179.0,39.25,842,-30.0,35.11,OUIGO,157.0,-15.0,84.7,AVE,177.0,15.0,88.31,AVE,157.0,45.0,40.2,AVLO,199.0
00004_02-01-2025-14.57,AVE,2025,1,3,14.95,157.0,88.31,108,-30.0,84.7,AVE,177.0,-15.0,39.25,IRYO,179.0,30.0,40.2,AVLO,199.0,60.0,88.93,AVE,157.0
00018_02-01-2025-15.27,AVLO,2025,1,3,15.45,199.0,40.2,646,-45.0,39.25,IRYO,179.0,-30.0,88.31,AVE,157.0,30.0,88.93,AVE,157.0,60.0,65.67,AVE,172.0
00004_02-01-2025-15.57,AVE,2025,1,3,15.95,157.0,88.93,140,-60.0,88.31,AVE,157.0,-30.0,40.2,AVLO,199.0,30.0,65.67,AVE,172.0,40.2,43.77,IRYO,157.0
00007_02-01-2025-16.27,AVE,2025,1,3,16.45,172.0,65.67,1090,-60.0,40.2,AVLO,199.0,-30.0,88.93,AVE,157.0,10.2,43.77,IRYO,157.0,30.0,160.0,AVE,157.0
00002_02-01-2025-16.37,IRYO,2025,1,3,16.62,157.0,43.77,1818,-40.2,88.93,AVE,157.0,-10.2,65.67,AVE,172.0,19.8,160.0,AVE,157.0,39.6,55.48,OUIGO,157.0
00004_02-01-2025-16.57,AVE,2025,1,3,16.95,157.0,160.0,0,-30.0,65.67,AVE,172.0,-19.8,43.77,IRYO,157.0,19.8,55.48,OUIGO,157.0,25.2,48.86,IRYO,172.0
00015_02-01-2025-17.17,OUIGO,2025,1,3,17.28,157.0,55.48,234,-39.6,43.77,IRYO,157.0,-19.8,160.0,AVE,157.0,5.4,48.86,IRYO,172.0,10.2,95.22,AVE,199.0
00009_02-01-2025-17.22,IRYO,2025,1,3,17.37,172.0,48.86,622,-25.2,160.0,AVE,157.0,-5.4,55.48,OUIGO,157.0,4.8,95.22,AVE,199.0,34.8,46.09,AVE,157.0
00006_02-01-2025-17.27,AVE,2025,1,3,17.45,199.0,95.22,8,-10.2,55.48,OUIGO,157.0,-4.8,48.86,IRYO,172.0,30.0,46.09,AVE,157.0,60.0,54.89,AVE,177.0
00004_02-01-2025-17.57,AVE,2025,1,3,17.95,157.0,46.09,3044,-34.8,48.86,IRYO,172.0,-30.0,95.22,AVE,199.0,30.0,54.89,AVE,177.0,34.8,47.8,IRYO,157.0
00016_02-01-2025-18.27,AVE,2025,1,3,18.45,177.0,54.89,513,-60.0,95.22,AVE,199.0,-30.0,46.09,AVE,157.0,4.8,47.8,IRYO,157.0,30.0,68.78,AVE,157.0
00002_02-01-2025-18.32,IRYO,2025,1,3,18.53,157.0,47.8,272,-34.8,46.09,AVE,157.0,-4.8,54.89,AVE,177.0,25.2,68.78,AVE,157.0,57.0,47.32,IRYO,172.0
